CUFSM CLI Analysis Results
==========================

MODEL
Material columns: material_id Ex Ey nu_x nu_y G
material_id,Ex,Ey,nu_x,nu_y,G
100,29500,29500,0.3,0.3,11346.15

Node columns: node_id x z dof_x dof_z dof_y dof_rotation stress
node_id,x,z,dof_x,dof_z,dof_y,dof_rotation,stress
1,5,1,1,1,1,1,50
2,5,0.5,1,1,1,1,50
3,5,0,1,1,1,1,50
4,3.75,0,1,1,1,1,50
5,2.5,0,1,1,1,1,50
6,1.25,0,1,1,1,1,50
7,0,0,1,1,1,1,50
8,0,1.5,1,1,1,1,50
9,0,3,1,1,1,1,50
10,0,4.5,1,1,1,1,50
11,0,6,1,1,1,1,50
12,0,7.5,1,1,1,1,50
13,0,9,1,1,1,1,50
14,1.25,9,1,1,1,1,50
15,2.5,9,1,1,1,1,50
16,3.75,9,1,1,1,1,50
17,5,9,1,1,1,1,50
18,5,8.5,1,1,1,1,50
19,5,8,1,1,1,1,50

Element columns: element_id node_i node_j thickness material_id
element_id,node_i,node_j,thickness,material_id
1,1,2,0.1,100
2,2,3,0.1,100
3,3,4,0.1,100
4,4,5,0.1,100
5,5,6,0.1,100
6,6,7,0.1,100
7,7,8,0.1,100
8,8,9,0.1,100
9,9,10,0.1,100
10,10,11,0.1,100
11,11,12,0.1,100
12,12,13,0.1,100
13,13,14,0.1,100
14,14,15,0.1,100
15,15,16,0.1,100
16,16,17,0.1,100
17,17,18,0.1,100
18,18,19,0.1,100

ANALYSIS SETTINGS
boundary_condition,S-S
number_of_lengths,101
minimum_length,1
maximum_length,1000
requested_eigenmodes,10
member_lengths,120
springs_defined,0
constraints_defined,0
cfsm_active,0

SIGNATURE CURVE
half_wavelength,lowest_eigenvalue
265.608778295,0.155618387364,99.655502247,0.327736211073,0.0101978009531,0.00656374102196,global
284.803586844,0.137907880615,99.7458823072,0.240243321727,0.00821018315978,0.00566418790027,global
305.385550883,0.122472701238,99.8133431609,0.175042607676,0.00671623682714,0.00489799457911,global
327.454916288,0.109022669306,99.8635811192,0.126591932864,0.00558260390242,0.0042443440824,global
351.119173422,0.0973027839122,99.9008954727,0.0907080474161,0.00471065131297,0.00368582853369,global
376.493580679,0.0870894192265,99.9285269023,0.0642365174838,0.00402869643105,0.00320788380713,global
403.70172586,0.0781867422038,99.9489149195,0.0448011949033,0.00348557414631,0.00279831147075,global
432.876128108,0.0704234242984,99.9638936762,0.0306141352915,0.00304531054643,0.0024468779326,global
464.158883361,0.0636496600777,99.974840586,0.0203315954079,0.00268283765085,0.00214498098516,global
497.702356433,0.0577344552428,99.9827888427,0.0129450905006,0.00238069346054,0.00188537331656,global
533.669923121,0.0525632803887,99.988512642,0.0076988300314,0.00212659416601,0.00166193378108,global
572.236765935,0.0480358911907,99.9925913573,0.00402744674814,0.00191171779555,0.00146947820381,global
613.590727341,0.0440645463876,99.9954580771,0.00150879120635,0.00172952863938,0.00130360306432,global
657.933224658,0.0405723019858,99.9970929007,0.000171562483103,0.00157498519434,0.00116055167222,global
705.480231072,0.0374915901018,99.9962717323,0.00124715298002,0.00144401424851,0.00103710044161,global
756.463327555,0.0347629787704,99.9958452636,0.00189096057637,0.00133325245773,0.00093052335713,global
811.13083079,0.0316537240806,99.9851286972,0.0103504941143,0.00297906388555,0.00154174482293,global
869.749002618,0.0275324449001,99.988719709,0.00736787736022,0.00257468270445,0.00133773094843,global
932.603346883,0.0239475363445,99.9914343355,0.00517152397209,0.00223308205699,0.00116105848691,global
1000,0.0208292535043,99.9934882218,0.00356222967056,0.00194156569115,0.00100798281116,global

MEMBER LENGTH MODE PARTICIPATION
requested_length,matched_length,length_index,mode_number,eigenvalue,global_percent,distortional_percent,local_percent,other_percent,dominant_family
120,120,70,1,0.654895028111,90.8183771763,8.93335842609,0.209322598514,0.0389417990934,global
120,120,70,2,1.21043185427,57.3223905543,40.6468990716,1.96478349262,0.0659268815026,global
120,120,70,3,2.32991858275,35.7373349195,63.7067779685,0.516982427549,0.0389046844703,distortional
120,120,70,4,6.57651049209,36.8742485628,61.7845797576,1.1330144826,0.208157196992,distortional
120,120,70,5,13.6217119284,48.0640271545,50.681657454,0.772794563336,0.481520828158,distortional
120,120,70,6,45.3831020865,25.0987272099,23.7136596213,51.1586071808,0.0290059879608,local
120,120,70,7,202.317960622,16.1941709477,20.2124947404,63.4774388452,0.11589546668,local
120,120,70,8,268.890827098,10.5676350692,29.6676097563,59.6966319707,0.0681232039113,local
120,120,70,9,504.51865576,32.3692602851,1.69729738764,65.8893204139,0.0441219133713,local
120,120,70,10,589.748201583,93.7824654471,0.40036851191,4.18118031106,1.63598572995,global

SIGNATURE MINIMA MODE PARTICIPATION
requested_length,matched_length,length_index,mode_number,eigenvalue,global_percent,distortional_percent,local_percent,other_percent,dominant_family
7.05480231072,7.05480231072,29,1,0.352708709855,0.271467257723,1.34785106247,98.2280176121,0.152664067707,local
7.05480231072,7.05480231072,29,2,1.08294816205,0.715413279408,5.99564702973,92.7262914066,0.562648284212,local
7.05480231072,7.05480231072,29,3,1.29718407873,0.186374620749,7.5256037478,92.0108859487,0.277135682729,local
7.05480231072,7.05480231072,29,4,1.98939377889,1.31125821408,4.88905454626,93.323059132,0.476628107652,local
7.05480231072,7.05480231072,29,5,5.42395771331,1.41135765872,8.00667641142,89.7973063369,0.784659592985,local
7.05480231072,7.05480231072,29,6,7.78787347756,1.41043700627,12.311744332,85.0288112933,1.24900736848,local
7.05480231072,7.05480231072,29,7,8.72463046047,0.208916225692,13.0658882743,86.201867833,0.523327666998,local
7.05480231072,7.05480231072,29,8,11.7806234368,1.51093969596,46.8971554241,49.4669199576,2.12498492233,local
7.05480231072,7.05480231072,29,9,11.8112196619,2.31796651868,45.2643201134,50.4470305847,1.97068278325,local
7.05480231072,7.05480231072,29,10,15.448174244,1.15312246122,14.0015471008,83.969635391,0.875695047014,local
